accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-202,,coll166.jpg,Standard certificate of birth for Bobbie May Jefferson,Archive,Needs Review,Original SRM Intake Review,Needs Review,Midwives and Motherhood,Scott Ford Houses,1930s,Bobbie May Jefferson; Josephine Jefferson,,1934-08-17,birth certificate,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Mississippi standard certificate of birth for Bobbie May Jefferson with attending physician or midwife certification.,Documents childbirth registration and family history within the Scott Ford midwife-related record group.,,"Identification updated from image text on July 18, 2026 and grouped with Scott Ford midwife-related materials per user guidance.",birth certificate; Bobbie May Jefferson; midwife; maternal care; Scott Ford Houses,
SRM-2026-203,,coll167.jpg,Otis Grocery Store on Farish Street,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Black Business and Professional Life,Farish Street,20th century,,,,black-and-white building photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Photograph of the Otis Grocery Store building on Farish Street.,Documents Farish Street commercial life and the built environment of Black business in Jackson.,,"Identification provided by user on July 18, 2026.",Otis Grocery Store; Farish Street; storefront; Jackson Mississippi,
SRM-2026-204,,coll168.jpg,Historic information about the Scott Ford family,Archive,Needs Review,Original SRM Intake Review,Needs Review,Family And Local Life,Scott Ford Houses,,,,,framed typed historical text,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Framed text containing historic information about the Scott Ford family.,Supports interpretation of the Scott Ford family and the neighborhood history connected to the Scott Ford Houses.,,"Removed from public view on July 18, 2026 at user request.",Scott Ford family; Scott Ford Houses; family history; archival text,
SRM-2026-205,,coll169.jpg,Architect’s rendering of the Smith Robertson Museum,Archive,Needs Review,Original SRM Intake Review,Needs Review,African American Education,Smith Robertson Campus,,,,,architectural rendering,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Architect’s rendering of the Smith Robertson Museum.,Documents planning and interpretive vision for the Smith Robertson Museum site.,,"Identification provided by user on July 18, 2026.",Smith Robertson Museum; architectural rendering; planning,
SRM-2026-206,,coll170.jpg,Peaches Restaurant in Jackson,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Black Business and Professional Life,"Jackson, Mississippi",20th century,,,,black-and-white interior photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Interior photograph of Peaches Restaurant in Jackson.,Documents a Black-owned or Black-serving restaurant and everyday social life in Jackson.,,"Identification provided by user on July 18, 2026.",Peaches Restaurant; Jackson Mississippi; restaurant; interior photograph,
SRM-2026-207,,coll171.jpg,Farish Street scene,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Community and Professional Life,Farish Street,early 20th century,,,,black-and-white street photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Street photograph identified by the user as Farish Street in the early twentieth century.,Documents the streetscape and daily life of Farish Street.,,"Date range and location provided by user on July 18, 2026.",Farish Street; street scene; early 20th century; Jackson Mississippi,
SRM-2026-208,,coll172.jpg,Farish Street storefront scene,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Black Business and Professional Life,Farish Street,early 20th century,,,,black-and-white street photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Storefront street scene identified by the user as Farish Street in the early twentieth century.,Documents the commercial landscape of Farish Street.,,"Date range and location provided by user on July 18, 2026.",Farish Street; storefront; early 20th century; Jackson Mississippi,
SRM-2026-209,,coll173.jpg,Farish Street group photograph,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Family And Local Life,Farish Street,early 20th century,,,,black-and-white group photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Group photograph identified by the user as connected to Farish Street in the early twentieth century.,Documents people and public life associated with Farish Street.,,"Date range and location provided by user on July 18, 2026.",Farish Street; group photograph; early 20th century; Jackson Mississippi,
SRM-2026-210,,coll174.jpg,Farish Street business interior scene,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Black Business and Professional Life,Farish Street,early 20th century,,,,black-and-white interior photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Interior or workshop scene identified by the user as part of Farish Street in the early twentieth century.,Documents labor and business life associated with Farish Street.,,"Date range and location provided by user on July 18, 2026.",Farish Street; business interior; labor; early 20th century,
SRM-2026-211,,coll175.jpg,Farish Street traffic scene,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Community and Professional Life,Farish Street,early 20th century,,,,black-and-white street photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Street scene with automobiles identified by the user as Farish Street in the early twentieth century.,"Documents transportation, commerce, and streetscape change on Farish Street.",,"Date range and location provided by user on July 18, 2026.",Farish Street; automobiles; street scene; early 20th century,
SRM-2026-212,,coll176.jpg,Portrait of John H. Powell,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Portraiture and Community Memory,,,John H. Powell,,,framed portrait photograph,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Framed portrait of John H. Powell.,Documents an identified individual through a formal portrait preserved in the collection.,,"Identification provided by user on July 18, 2026.",John H. Powell; portrait; photograph,
SRM-2026-213,,coll177.jpg,Untitled design batch image 32 (provisional),Artifact,Needs Review,Original SRM Intake Review,Needs Review,Material Culture and Interpretation,,,,,,image pending identification,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Renamed public image coll191.png added from the Untitled design (1) batch pending identification.,"Placeholder record created so the image can be tracked, identified, and reviewed in sequence.",,Source file renamed from 32.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.,provisional intake; needs identification; July 2026 batch,
SRM-2026-214,,coll178.jpg,Certificate of Meritorious Achievement in Journalism for Percy Greene,Archive,Needs Review,Original SRM Intake Review,Needs Review,Black Business and Professional Life,,,Percy Greene,,1960,framed certificate,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Framed Certificate of Meritorious Achievement in Journalism awarded to Percy Greene.,Documents recognition of Percy Greene’s journalistic work and Black professional achievement.,,The certificate appears to reference a New York Press Club award.,Percy Greene; journalism; certificate; award,
SRM-2026-215,,coll179.jpg,Funeral service program for Percy Greene,Archive,Needs Review,Original SRM Intake Review,Needs Review,Portraiture and Community Memory,,,Percy Greene; Thomas B. Brown Jr.,,1977-04-21,printed funeral service program,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Funeral service program for Percy Greene, held Thursday, April 21, 1977 at Pearl Street A.M.E. Church in Jackson, Mississippi.",Documents the memorialization of Percy Greene and his place in community history.,,"Program text identifies Reverend Thomas B. Brown, Jr. as officiating pastor.",Percy Greene; funeral program; Pearl Street AME Church; Jackson Mississippi,
SRM-2026-216,,coll180.jpg,Laura J. Flowers,Photograph,Needs Review,Original SRM Intake Review,Needs Review,Family And Local Life,Mississippi,19th-20th century,Laura J. Flowers; Mary Collier; Lelia Jane Flowers Milner,,,black-and-white photograph with caption card,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Photograph of Laura J. Flowers. Caption identifies her as a former slave and states that Mary Collier taught her to read and write; after slavery Laura taught her husband and others to read and write in her home.,"Documents African American literacy, family memory, and post-emancipation community teaching.",,Caption reads: Donated by Ms. Lelia Jane Flowers Milner.,Laura J. Flowers; former slave; literacy; family history; photograph,
